id,name
23000,Івано-Франківськ
23206,Галич
23204,Бурштин
23098,Ходорів
23200,Львів
23150,Броди
22184,Кривин
34763,Славута-1
22220,Шепетівка-1
22130,Новоград-Волинський 1
22110,Коростень-П-З
47125,Святошин
22000,Київ-Пас.
23300,Тернопіль-Пас.
22300,Хмельницький
22270,Жмеринка-Пас.
22200,Вінниця
22302,Козятин-1
22180,Біла Церква
22190,Миронівка
23350,Ім.тараса  Шевченка
23440,Долинська
22900,Кривий Ріг-Головний
22830,Апостолове
23518,Високопілля
23521,Біла Криниця
23526,Снігурівка
23530,Херсон
23536,Миколаїв Пас.
22070,Ніжин
22600,Чернігів
22570,Миргород
22580,Полтава-Київська
22100,Харків-Пас.
24063,Святогірськ
24020,Лиман
24054,Слов'янський Курорт
24110,Краматорськ
24089,Дружківка
24140,Костянтинівка
23560,Білгород-Дністровський
23486,Бугаз
23485,Кароліно-Бугаз
23483,Аккаржа
23600,Одеса-Головна
23460,Роздільна-1
23520,Затишшя
23450,Подільськ
23510,Кодима
23470,Крижопіль
23430,Вапнярка
22263,Деражня
22268,Волочиськ
23201,Коршів
23030,Коломия
23175,Заболотів
23045,Снятин
23500,Чернівці
8030,Будапешт-Ньюгати
2937,Зугло
2815,Кебанія Кішпешт
2817,Феріхегіаеропорт
8372,Цеглед
2123,Сольнок
2127,Пюштекладань
2131,Хайдусобосло
2122,Дебрецен
2121,Н'їредьхаза
2939,Кишварда
277,Захонь
20115,Чоп-Пас.
23127,Батьово-Пас.
23070,Мукачеве
34965,Карпати
23290,Свалява
23145,Воловець
23273,Лавочне
23091,Славське
23088,Сколе
23090,Стрий
2962,Відень Головний
8137,Хедьешхалом
2944,Мосонмадьяровар
2949,Д'ер
2942,Татабанія
2834,Будапешт-Келєнфельд
2141,Будапешт-Келеті
2963,Саел
2933,Тороксентмиклош
2964,Федвернек-Орменеш
2935,Кишуйсаллаш
8503,Карцаг
2494,Каба
2495,Ебеш
2938,Демечер
23217,Ворохта
23218,Татарів
23255,Яремче
23209,Надвірна
23025,Красне
23185,Злочів
23141,Зборів
23260,Підволочиськ
22198,Калинівка-1
22150,Фастів-1
2160,Вроцлав-Гол.
2422,Олава
2228,Бжег
2159,Ополе Главна
2049,Здзешовіце
8063,Кенджежин Козьле
2226,Глівіце
8146,Забже
2158,Катовіце
2305,Краків-Плашув
2224,Тарнов
2223,Дебіца
8105,Жешов
8013,Ланьцут
2222,Пшеворск
2221,Ярослав
2408,Пшемисль Засані
2156,Пшемисль
2232,Гдиня Головна
8115,Сопот
2425,Гданськ Олива
2426,Гданськ Вжещ
2231,Гданськ Головний
8126,Тчев
8074,Мальборк
8245,Прабути
8534,Ілава Головна
8223,Дзялдово
8990,Млава
8219,Цеханув
2033,Модлин
2034,Новий Двір Мазовецький
2035,Легіоново
2189,Варшава-Всходня
2190,Варшава Центральна
2191,Варшава Заходня
2258,Скерниевице
2036,Пйотркув Трибунальський
8014,Ченстохова
2431,Мєхов
2157,Краків-Головний
22080,Дарниця
23215,Підзамче
22700,Дніпро-Головний
22720,Кам'янське-Пас.
22815,Верхівцеве
22810,П'ятихатки
23392,Зелена
23380,Олександрія
23390,Знам'янка-Пас.
23353,Фундукліївка
23359,Цвіткове
23362,Корсунь
22120,Бердичів
22210,Полонне
23010,Здолбунів-Пас.
23165,Дубно
23125,Радивилів
34863,Підбірці
22695,Верхньодніпровськ
22674,Вільногірськ
23355,Кам'янка
35099,Городище
23155,Дрогобич
23240,Трускавець
23351,Чорнолісська
20095,Ужгород
23274,Любень-Великий
23005,Самбір
23112,Ст.самбор
23113,Стрілки
23235,Турка
23118,Сянки
23121,Волосянка-Закарпатська
34908,Ставне
34911,Кострине
23122,Великий Березний
23123,Перечин
22800,Запоріжжя-1
22920,Синельникове-1
23092,Сихів
47445,Букачівці
23219,Делятин
35014,Микуличин
23216,Вороненко
23214,Лазещина
23213,Ясиня
23212,Кваси
47508,Білин
23270,Рахів
22831,Дніпробуд-2
22797,Мирова
22725,Марганець
22780,Нікополь
22870,Чортомлик
22840,Рокувата
23630,Користівка
23410,Кропивницький
23401,Плетений Ташлик
23403,Новоукраїнка
23360,Помічна
35119,Первомайськ На Бузі
23443,Врадіївка
23444,Любашівка
23550,Балта
49334,Обхідна
23417,Слобідка
22261,Комарівці
23095,Ківерці
23060,Луцьк
22093,Малин
22101,Білокоровичі
22103,Олевськ
23037,Остки
23280,Рокитне-Волинське
23036,Томашгород
23195,Клесів
23080,Сарни
23120,Антонівка
23033,Рафалівка
23032,Чарторийськ
23205,Маневичі
23029,Повурськ
23020,Ковель-Пас.
23041,Турійськ
23043,Овадно
23180,Володимир-Волинський
23044,Іваничі
23062,Сокаль
23245,Червоноград
23064,Соснівка
23128,Косини
23129,Берегове
23140,Боржава
23170,Виноградів-Закарпатський
23295,Королеве
23115,Хуст
23160,Буштина
23105,Тячів
23085,Тересва
23065,Солотвино-1
22174,Чуднів-Волинськ.
263,Чиєрна Над Тисою
2982,Бієл
2073,Добра
2309,Прибеник
2067,Велки Хорес
2326,Стреда Над Бодрогом
2072,Борща
2310,Словенске Нове Мєсто
2065,Черхов
2329,Міхалани
2064,Кузмиче
2071,Кальша
2063,Сланець
2062,Русков
2069,Бохдановице
2061,Висна Мюсла
2060,Нижня Мюсла
2070,Красна Над Хорнадом
2308,Кошице Предместя
2110,Кошице
23047,Голоби
23049,Рожище
23056,Гнідава
23059,Сенкевичівка
23285,Горохів
23068,Стоянів
23069,Радехів
23071,Кам'янка-Бузька
23199,Отинія
24060,Лисичанськ
24113,Рубіжне
24008,Кремінне
24109,Кабанне
24052,Сватове
22407,Куземівка
22406,Кислівка
22380,Куп'янськ-Вузл.
22423,Шевченкове-Півд.
22426,Чугуїв
22519,Люботин
22516,Богодухів
22515,Губарівка
22512,Кириківка
22460,Смородине
22507,Боромля
22450,Суми
22440,Білопілля
22050,Ворожба
22060,Путивль
22040,Конотоп-Пас.
22030,Бахмач-Пас.
34785,Яблунець
22186,Острог
22137,Радулин
22059,Яготин
22550,Гребінка
22560,Лубни
22530,Ромодан
22567,Гоголеве
22568,Яреськи
22571,Сагайдак
22573,Решетилівка
22526,Коломак
23400,Рівне
23415,Куцівка
23502,Казанка
23504,Новий Буг
23507,Явкине
23015,Костопіль
23210,Дубровиця
23003,Удрицьк
23190,Горинь
23002,Видибір
23001,Прип'ять
21291,Лунінець
21220,Ганцевичі
21264,Рейтанів
21133,Ляховичі
21010,Барановичі-Полесские
21123,Столбці
21000,Мінськ-Пас.
21270,Осиповичі 1
21073,Єлізово
21076,Несета
21150,Могилів 1
47485,Пустомити
23083,Миколаїв-Дніст.
34879,Гребенів
23089,Тухля
23132,Скотарське
23455,Перехрестове
23143,Глибочек-Великий
47480,Солотвино-Лікар.
34959,Бескид
22259,Ярошенка
23429,Кирнасівка
23428,Демківка
23427,Ладижин
23426,Губник
23425,Зятківці
23424,Кублич
23423,Розкошівка
23370,Христинівка
23376,Поташ
23373,Тальне
23379,Звенигородка
23369,Багачеве
23367,Шпола
23340,Черкаси
22020,Кролевець
22013,Терещенська
22010,Хутір Михайлівський
20808,Суземка
20420,Брянськ-Льговский
20007,Москва Київська
22670,Мелітополь-Пас.
22675,Якимівка
22755,Партизани
22790,Новоолексіївка
22709,Молочанськ
22865,Великий Токмак
22698,Верхній Токмак-2
22777,Комиш-Зоря
24281,Розівка
24230,Волноваха
24400,Маріуполь
22960,Федорівка
20160,Брянськ-Орловськ
23451,Одеса-Застава 1
23434,Рудниця
22258,Рахни
23197,Хриплин
35003,Журавно
2180,Хелм
23053,Клевань
22176,Печанівка
23048,Переспа
23052,Цумань
22610,Кременчук-Пас.
22605,Галещина
22606,Козельщина
22609,Кобеляки
22611,Ліщинівка
22613,Нові Санжари
22590,Полтава-Півд.
23148,Теребовля
23151,Хоростків
23152,Копичинці
23135,Чортків
23179,Товсте
23220,Заліщики
23247,Стефанешти
47564,Городенка-Завод
23242,Гвіздець
22242,Гнівань
23580,Ізмаїл
23497,Котлабух
23496,Дзинілор
23494,Главані
23490,Арциз
23492,Сарата
23491,Кулевча
49382,Ташбунар
23495,Аліяга
23493,Давлет-Агач
329,З.п.1 Км
49493,Гнаденталь
23489,Кантемир
23487,Шабо
49467,Барабой
23482,Ксенієве
23479,Одеса-Західна
23612,Березине
3109,Червоне
3111,Містечко
23499,Паризька
4827,Теплиця
35092,Южноукраїнська
23420,Вознесенськ
23629,Одеса-Східна
22940,Синельникове-2
22785,Таврійськ
22845,Пришиб
22713,Плодородна
22905,Нововесела
23528,Сірогози
3151,Велика Благовіщенка
23531,Братолюбівка
23532,Каховка
23527,Галаганівка
23514,Ясна Зоря
23515,Зелений Гай
23516,Новокатиринівка
23472,Колосівка
23473,Березівка
23336,Драбове-Барятинське
23337,Пальміра
23338,Золотоноша-1
23345,Капітанівка
23346,Новомиргород
23347,Виска
23348,Капустине
23349,Адабаш
23405,Людмилівка
23406,Кавуни
23407,Трикратне
23396,Веселинове
23100,Кишинеу
23597,Бендер-2
23610,Тираспіль
23599,Кучурган
24040,Слов'янськ
24047,Барвінкове
22430,Лозова-Пас.
22760,Павлоград-1
21185,Пуховичі
21113,Бобруйськ
21080,Жлобин-Пас.
21100,Гомель-Пас.
22037,Терюха
22038,Горностаївка
22256,Журавлівка
24278,Хлібодарівка
24279,Зачатівська
20350,Калуга-2
20370,Сухиничі-Головні
49397,Миколаєве
23447,Жеребкове
23422,Підгородна
23421,Бандурка
23394,Пантаївка
23386,Лікарівка
23385,Павлиш
23458,Веселий Кут
22424,Гракове
49708,Шв.могила
21025,Буда-Кошелівська
21290,Рогачєв
21060,Бихов
21225,Шклов
21170,Орша-Центр.
21050,Вітебськ Пас.
20550,Невель-2
20508,Новосокольники
20522,Локня
20570,Дно
20103,Санкт-Петербург-Вітеб.
23393,Яковлівка
22930,Чаплине
24050,Покровськ
22149,Трипілля-Дніпр.
22711,Світлодолинськ
22561,Пирятин
22540,Прилуки
22549,Ічня
20810,Зернове
22524,Ков'яги
22525,Водяна
22528,Скороходове
22529,Кочубеївка
22615,Мала Перещепин.
22607,Ганнівка
22603,Потоки
22597,Крюків На Дніпрі
23411,Сахарна
23412,Медерове
23413,Шарівка
23414,Чабанівка
22744,Тимкове
23523,Березнегувате
23539,Копані
49311,Варварівка
22473,Краснопавлівка
22472,Лихачове
22370,Бєлгород
