id,number,name,description,travel_time
56927,43,Івано-Франківськ Київ,"цілий рік щоденно, крім 20/12/2017-20/01/2018",10:56
1668,133,Івано-Франківськ Миколаїв,"11/12/2017-17/05/2018 щоденно, крім 13,16,19,22,25,28,31/12/2017, 3,6,9,12,15,18,21,24,27,30/01/04/05/2018, 2,5,8,11,14,17,20,23,26/02, 1,4,7,10,13,16,19,22,25,28,31/03/2018",24:41
57110,250,Івано-Франківськ Київ,"27/12/2017, 2/01/2018",13:31
54178,749   (ІНТЕРСІТІ),Івано-Франківськ Київ,цілий рік щоденно,8:06
429,7,Івано-Франківськ Київ,цілий рік щоденно,9:06
57065,233,Івано-Франківськ Кривий Ріг,"25,28,31/12/2017, 3,6,9,12/01/2018",19:36
57095,193,Івано-Франківськ Львів,"30/12/2017, 8/01/2018",2:42
57107,218,Івано-Франківськ Київ,9/01/2018,10:51
56758,43,"Івано-Франківськ Київ,чернігів",20/12/2017-20/01/2018 щоденно,14:44
56805,1,Івано-Франківськ Костянтинівка,"цілий рік по парних, при двох непарних 28,30,2",20:33
423,136,Білгород-Дністровський Чернівці,"12/12/2017-21/01/2018 щоденно (крім 1/01/2018);  з 22/01/2018 по парних, при двох непарних 28,30,2,4",19:41
54219,34  безпересадковий вагон,Будапешт Львів,10/12/2017 - 8/12/2018  щоденно,13:57
56850,147  безпересадковий вагон,Відень Київ,11/12/2017 - 8/12/2018  щоденно,23:29
2072,144,"Ворохта,івано-Франківськ Київ",цілий рік щоденно,15:58
57009,63170,Вроцлав Львів,11/12/2017 - 10/03/2018 щоденно,14:15
57012,53170  безпересадковий вагон,Гдиня Львів,11/12/2017 - 10/03/2018 щоденно,17:30
56810,743   (ІНТЕРСІТІ+),"Дарниця, Київ Львів",з 10/12/2017 щоденно,5:31
57133,295,Дніпро Івано-Франківськ,1/01/2018,21:43
57099,232,Дніпро Івано-Франківськ,"26/12/2017, 8/01/2018",19:37
1354,275,Дніпро Львів,"14/12/2017-22/01/2018 по парних, при двох непарних 28,30,2;   додатково 23,25,27,29/12/2017, 1,3,5,7,9,11/01/2018",18:53
386,41,Дніпро Трускавець,цілий рік щоденно,20:47
57060,69  безпересадковий вагон,Дніпро Ужгород,17/01/2018,38:23
57059,69  безпересадковий вагон,Дніпро Ужгород,3/01/2018,28:07
57120,232  безпересадковий вагон,Запоріжжя Рахів,3/01/2018,32:37
57063,232,Запоріжжя Львів,"23,25,27,29/12/2017, 1,3,5,7,9,11/01/2018",19:37
134,120,"Запоріжжя, Кривий Ріг Львів",цілий рік щоденно;  відмінено 31/12/2017,24:27
56874,811,Ківерці Львів,"цілий рік щоденно, крім  середи і четверга",3:24
57129,7,Київ Івано-Франківськ,29/12/2017,9:03
54166,749   (ІНТЕРСІТІ),Київ Івано-Франківськ,цілий рік щоденно,8:03
54177,7,Київ Івано-Франківськ,"цілий рік щоденно, крім 29/12/2017",9:03
56849,749  безпересадковий вагон,Київ Відень,10/12/2017 - 7/12/2018  щоденно,22:14
136,141,Київ Львів,цілий рік щоденно,12:53
56631,13,Київ Солотвино,до 9/01/2018 щоденно,20:55
57055,13,Київ Солотвино,з 10/01/2018 щоденно,20:55
1296,"49   (""КОБЗАР"")",Київ Трускавець,цілий рік щоденно,11:47
56969,"81   (""ДЕСНА"")",Київ Ужгород,з 20/12/2017 щоденно,16:01
56826,29,Київ Ужгород,"16,18/12/2017",12:12
57109,29,Київ Ужгород,"26/12/2017-24/03/2018 по парних, при двох непарних 30,20,4",12:12
57006,29,Київ Ужгород,"20,22,24/12/2017;  з 26/03/2018 по парних, при двох непарних 30,20,4",12:12
1947,207,Київ Ужгород,"22/12/2017-13/01/2018 щоденно, крім 31/12/2017",17:55
1289,"81   (""ДЕСНА"")",Київ Ужгород,16-19/12/2017 щоденно,16:01
56846,249,Київ Чернівці,"24,28,30/12/2017, 2,3,4,5,8,10/01/2018",16:46
56928,44,Київ Івано-Франківськ,"цілий рік щоденно, крім 21/12/2017-21/01/2018",10:53
57058,13  безпересадковий вагон,Київ Кошице,10/01 - 7/12/2018  щоденно,22:13
54312,13  безпересадковий вагон,Київ Кошице,10/12/2017 - 9/01/2018  щоденно,22:13
54172,217,Київ Рахов,"15,22,24,27,29/12/2017, 1,3,4,5,7,9,10,11,13/01/2018",15:47
56848,219,Київ Чернівці,"28,30/12/2017",15:32
56175,715   (ІНТЕРСІТІ+),Київ Пшемисль,10/12/2017-10/03/2018 щоденно,9:12
54169,143,"Київ Івано-Франківськ,ворохта",цілий рік щоденно,15:36
51900,191,Київ Львів,"23,25,28,29,30,31/12/2017, 2,5,6,8,9/01/2018",9:58
55126,243,Київ Львів,"30/12/2017, 8/01/2018",8:55
57132,"91   (""ЛЬВІВ"")",Київ Львів,29/12/2017,8:02
57122,"755   (""ЛЬВІВ"")",Київ Львів,29/12/2017,6:12
54753,"91   (""ЛЬВІВ"")",Київ Львів,"цілий рік щоденно (крім 29/12/2017);  відмінено 31/12/2017, 6/01/2018",7:18
1480,239,Київ Ужгород,"22,24,27,29/12/2017, 1,3,5,7,9/01/2018",15:12
54730,705   (ІНТЕРСІТІ+),Київ Пшемисль,10/12/2017-10/03/2018 щоденно,7:25
2424,668,Ковель Чернівці,цілий рік щоденно,14:29
